datasetid,siteid,sitename,collectionunitid,collectionunit,handle,datasettype,sampleid,samplename,depth,altitude,geography,waterdepth_site,pH,pH_units,water_table_depth,water_table_depth_units
25977,2536,Tannersville Bog,18888,TA36,TANNER36,testate amoebae surface sample,266560,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.33,,-6.0,cm
27591,13528,South Rhody peatland,20334,SRB2,SRB2,testate amoebae surface sample,273322,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,4.1,,6.0,cm
25952,2536,Tannersville Bog,18863,TA9,TANNER9,testate amoebae surface sample,266535,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.45,,28.0,cm
25978,2536,Tannersville Bog,18889,TA37,TANNER37,testate amoebae surface sample,266561,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.4,,-4.0,cm
25979,2536,Tannersville Bog,18890,TA38,TANNER38,testate amoebae surface sample,266562,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.51,,-6.0,cm
25946,2536,Tannersville Bog,18857,TA3,TANNER3,testate amoebae surface sample,266529,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.24,,23.0,cm
25980,2536,Tannersville Bog,18891,TA39,TANNER39,testate amoebae surface sample,266563,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.24,,0.0,cm
25947,2536,Tannersville Bog,18858,TA4,TANNER4,testate amoebae surface sample,266530,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.23,,16.0,cm
25981,2536,Tannersville Bog,18892,TA40,TANNER40,testate amoebae surface sample,266564,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.2,,9.0,cm
27615,2504,Splains Lake,20358,SGL1,SGL1,testate amoebae surface sample,273346,,,3167,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-107.08325,38.82933],[-107.07314,38.82933],[-107.07314,38.83395],[-107.08325,38.83395],[-107.08325,38.82933]]]}",,4.0,,17.0,cm
27595,13528,South Rhody peatland,20338,SRB6,SRB6,testate amoebae surface sample,273326,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,4.0,,13.0,cm
25948,2536,Tannersville Bog,18859,TA5,TANNER5,testate amoebae surface sample,266531,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.21,,27.5,cm
25982,2536,Tannersville Bog,18893,TA41,TANNER41,testate amoebae surface sample,266565,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.58,,9.0,cm
27596,13528,South Rhody peatland,20339,SRB7,SRB7,testate amoebae surface sample,273327,,,285,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-86.07692,46.56374],[-86.07348,46.56374],[-86.07348,46.56785],[-86.07692,46.56785],[-86.07692,46.56374]]]}",,4.1,,6.0,cm
25949,2536,Tannersville Bog,18860,TA6,TANNER6,testate amoebae surface sample,266532,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.44,,12.0,cm
25983,2536,Tannersville Bog,18894,TA42,TANNER42,testate amoebae surface sample,266566,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.64,,5.5,cm
25945,2536,Tannersville Bog,18856,TA2,TANNER2,testate amoebae surface sample,266528,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.17,,24.0,cm
27620,2504,Splains Lake,20363,SGL6,SGL6,testate amoebae surface sample,273351,,,3167,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-107.08325,38.82933],[-107.07314,38.82933],[-107.07314,38.83395],[-107.08325,38.83395],[-107.08325,38.82933]]]}",,4.5,,12.0,cm
27183,1118,Keystone Iron Fen,19931,KS1,KS1,testate amoebae surface sample,272781,,,2881,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",,3.3,,14.0,cm
25953,2536,Tannersville Bog,18864,TA10,TANNER10,testate amoebae surface sample,266536,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.35,,14.0,cm
25984,2536,Tannersville Bog,18895,TA43,TANNER43,testate amoebae surface sample,266567,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,5.01,,0.0,cm
27188,1118,Keystone Iron Fen,19936,KS6,KS6,testate amoebae surface sample,272786,,,2881,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",,3.3,,18.0,cm
25985,2536,Tannersville Bog,18896,TA44,TANNER44,testate amoebae surface sample,266568,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,5.11,,-4.0,cm
25950,2536,Tannersville Bog,18861,TA7,TANNER7,testate amoebae surface sample,266533,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.23,,27.0,cm
25986,2536,Tannersville Bog,18897,TA45,TANNER45,testate amoebae surface sample,266569,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.79,,25.0,cm
25951,2536,Tannersville Bog,18862,TA8,TANNER8,testate amoebae surface sample,266534,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.15,,29.0,cm
27185,1118,Keystone Iron Fen,19933,KS2,KS2,testate amoebae surface sample,272783,,,2881,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",,3.5,,40.0,cm
25987,2536,Tannersville Bog,18898,TA46,TANNER46,testate amoebae surface sample,266570,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.88,,8.6,cm
27621,2504,Splains Lake,20364,SGL7,SGL7,testate amoebae surface sample,273352,,,3167,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-107.08325,38.82933],[-107.07314,38.82933],[-107.07314,38.83395],[-107.08325,38.83395],[-107.08325,38.82933]]]}",,4.199999809,,14.0,cm
25988,2536,Tannersville Bog,18899,TA47,TANNER47,testate amoebae surface sample,266571,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,5.35,,-2.0,cm
