datasetid,datasettype,datasetname,siteid,sitename,collectionunitid,collectionunit,handle,unittype,geography,altitude,doi
25986,testate amoebae surface sample,,2536,Tannersville Bog,18897,TA45,TANNER45,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/5ecf-0a04
25987,testate amoebae surface sample,,2536,Tannersville Bog,18898,TA46,TANNER46,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/9w90-9240
25988,testate amoebae surface sample,,2536,Tannersville Bog,18899,TA47,TANNER47,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/h5dx-dx17
25989,testate amoebae surface sample,,2536,Tannersville Bog,18900,TA48,TANNER48,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/r9c3-ja36
25990,testate amoebae surface sample,,2536,Tannersville Bog,18901,TA49,TANNER49,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/xhtj-vh79
45065,testate amoebae surface sample,,9691,Ballyduff,31966,IR 1,BAL_IR1,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/t0j8-yg09
45066,testate amoebae surface sample,,9691,Ballyduff,31967,IR 2,BAL_IR2,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/f1g5-hz51
45067,testate amoebae surface sample,,9691,Ballyduff,31968,IR 3,BAL_IR3,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/v48r-eq72
45068,testate amoebae surface sample,,9691,Ballyduff,31969,IR 4,BAL_IR4,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/hb93-4394
45069,testate amoebae surface sample,,9691,Ballyduff,31970,IR 5,BAL_IR5,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/btpp-sf16
45070,testate amoebae surface sample,,9691,Ballyduff,31971,IR 7,BAL_IR6,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/4056-as34
45071,testate amoebae surface sample,,9691,Ballyduff,31972,IR 8,BAL_IR7,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/ng9y-y830
45072,testate amoebae surface sample,,9691,Ballyduff,31973,IR 9,BAL_IR8,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/sw3a-p345
45073,testate amoebae surface sample,,9691,Ballyduff,31974,IR 10,BAL_IR9,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/nxxt-q959
45074,testate amoebae surface sample,,9691,Ballyduff,31975,IR 11,BAL_IR10,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/5fwz-fv65
45075,testate amoebae surface sample,,9691,Ballyduff,31976,IR 13,BAL_IR11,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",49,10.21233/njg5-m362
